key,入金件数,入金額
北海道札幌市中央区,1,2000
北海道札幌市北区,1,2000
北海道札幌市東区,2,4000
北海道札幌市白石区,1,2000
北海道札幌市豊平区,1,2000
北海道札幌市南区,1,2000
北海道札幌市西区,2,4000
北海道札幌市清田区,1,2000
北海道函館市,2,4000
北海道小樽市,1,2000
北海道名寄市,1,2000
北海道砂川市,1,2000
北海道勇払郡厚真町,1,2000
青森県青森市,4,8000
青森県弘前市,4,8000
青森県八戸市,38,78000
青森県五所川原市,1,2000
青森県十和田市,5,10000
青森県三沢市,1,2000
青森県むつ市,1,2000
青森県東津軽郡平内町,1,2000
青森県南津軽郡藤崎町,1,2000
青森県上北郡おいらせ町,1,2000
青森県三戸郡三戸町,22,44000
青森県三戸郡五戸町,2,4000
青森県三戸郡田子町,5,10000
青森県三戸郡南部町,15,30000
岩手県盛岡市,167,354000
岩手県花巻市,15,30000
岩手県北上市,12,24000
岩手県久慈市,11,22000
岩手県遠野市,2,4000
岩手県一関市,12,24000
岩手県陸前高田市,2,4000
岩手県釜石市,1,2000
岩手県二戸市,411,852000
岩手県八幡平市,19,38000
岩手県奥州市,11,22000
岩手県滝沢市,37,74000
岩手県岩手郡雫石町,2,4000
岩手県岩手郡葛巻町,4,16000
岩手県岩手郡岩手町,7,14000
岩手県紫波郡紫波町,12,24000
岩手県紫波郡矢巾町,10,20000
岩手県胆沢郡金ケ崎町,1,2000
岩手県下閉伊郡普代村,3,6000
岩手県九戸郡軽米町,10,20000
岩手県九戸郡野田村,3,6000
岩手県九戸郡九戸村,40,80000
岩手県九戸郡洋野町,8,16000
岩手県二戸郡一戸町,75,160000
宮城県仙台市青葉区,8,16000
宮城県仙台市宮城野区,6,12000
宮城県仙台市若林区,1,2000
宮城県仙台市太白区,7,14000
宮城県仙台市泉区,11,25000
宮城県塩竈市,3,6000
宮城県名取市,4,8000
宮城県岩沼市,3,6000
宮城県栗原市,1,2000
宮城県東松島市,1,2000
宮城県大崎市,1,2000
宮城県富谷市,6,12000
宮城県柴田郡柴田町,1,2000
宮城県黒川郡大和町,1,2000
宮城県遠田郡美里町,1,2000
秋田県秋田市,1,2000
秋田県鹿角市,2,4000
秋田県南秋田郡井川町,1,2000
山形県鶴岡市,1,2000
山形県上山市,1,2000
山形県長井市,1,2000
福島県いわき市,3,14000
福島県相馬市,1,2000
福島県西白河郡中島村,1,2000
福島県西白河郡矢吹町,1,2000
福島県東白川郡矢祭町,1,2000
茨城県水戸市,1,2000
茨城県北茨城市,1,2000
茨城県取手市,1,2000
茨城県牛久市,2,4000
茨城県つくば市,1,2000
茨城県ひたちなか市,1,2000
茨城県かすみがうら市,1,2000
茨城県桜川市,1,2000
茨城県つくばみらい市,1,2000
茨城県稲敷郡河内町,1,2000
茨城県北相馬郡利根町,1,2000
栃木県宇都宮市,3,6000
栃木県鹿沼市,1,2000
栃木県小山市,2,4000
栃木県真岡市,1,2000
栃木県下野市,1,2000
群馬県前橋市,1,2000
埼玉県さいたま市西区,1,2000
埼玉県さいたま市北区,2,4000
埼玉県さいたま市大宮区,1,2000
埼玉県さいたま市桜区,1,2000
埼玉県さいたま市浦和区,1,2000
埼玉県さいたま市南区,2,4000
埼玉県さいたま市緑区,2,4000
埼玉県川越市,5,10000
埼玉県川口市,6,12000
埼玉県所沢市,2,4000
埼玉県加須市,1,2000
埼玉県本庄市,1,2000
埼玉県東松山市,1,2000
埼玉県狭山市,3,6000
埼玉県羽生市,1,2000
埼玉県鴻巣市,1,2000
埼玉県上尾市,2,4000
埼玉県草加市,1,2000
埼玉県越谷市,3,16000
埼玉県戸田市,1,2000
埼玉県志木市,3,6000
埼玉県新座市,1,2000
埼玉県久喜市,2,4000
埼玉県富士見市,1,2000
埼玉県三郷市,2,4000
埼玉県坂戸市,1,2000
埼玉県日高市,1,2000
埼玉県吉川市,1,2000
埼玉県北足立郡伊奈町,1,2000
埼玉県比企郡嵐山町,1,2000
埼玉県比企郡鳩山町,1,2000
埼玉県南埼玉郡宮代町,1,2000
千葉県千葉市中央区,1,2000
千葉県千葉市花見川区,4,8000
千葉県千葉市若葉区,2,4000
千葉県千葉市緑区,2,4000
千葉県千葉市美浜区,3,6000
