卒業年,入金件数,入金額
明治３９年,0,0
明治４０年,0,0
明治４１年,0,0
明治４２年,0,0
明治４３年,0,0
明治４４年,0,0
明治４５年,0,0
大正２年,0,0
大正３年,0,0
大正４年,0,0
大正５年,0,0
大正６年,0,0
大正７年,0,0
大正８年,0,0
大正９年,0,0
大正１０年,0,0
大正１１年,0,0
大正１２年,0,0
大正１３年,0,0
大正１４年,0,0
大正１５年,0,0
昭和２年,0,0
昭和３年,0,0
昭和４年,0,0
昭和５年,0,0
昭和６年,0,0
昭和７年,0,0
昭和８年,0,0
昭和９年,0,0
昭和１０年,0,0
昭和１１年,0,0
昭和１２年,0,0
昭和１３年,0,0
昭和１４年,0,0
昭和１５年,0,0
昭和１６年,2,4000
昭和１７年,1,2000
昭和１８年,1,2000
昭和１９年,3,10000
昭和２０年,3,6000
昭和２１年,1,2000
昭和２２年,3,6000
昭和２３年,4,8000
昭和２４年,8,16000
昭和２５年,12,24000
昭和２６年,10,20000
昭和２７年,19,38000
昭和２８年,20,40000
昭和２９年,21,42000
昭和３０年,21,68000
昭和３１年,21,42000
昭和３２年,24,56000
昭和３３年,27,54000
昭和３４年,43,195000
昭和３５年,31,70000
昭和３６年,52,112000
昭和３７年,46,92000
昭和３８年,40,84000
昭和３９年,27,54000
昭和４０年,46,100000
昭和４１年,43,96000
昭和４２年,48,96000
昭和４３年,31,70000
昭和４４年,42,92000
昭和４５年,36,72000
昭和４６年,35,80000
昭和４７年,27,54000
昭和４８年,61,124000
昭和４９年,39,94000
昭和５０年,43,98000
昭和５１年,28,66000
昭和５２年,37,74000
昭和５３年,26,52000
昭和５４年,28,56000
昭和５５年,31,70000
昭和５６年,32,72000
昭和５７年,23,46000
昭和５８年,21,50000
昭和５９年,20,40000
昭和６０年,9,18000
昭和６１年,12,24000
昭和６２年,15,30000
昭和６３年,9,18000
平成元年,7,14000
平成２年,13,26000
平成３年,14,28000
平成４年,10,20000
平成５年,9,18000
平成６年,10,22000
平成７年,11,22000
平成８年,8,16000
平成９年,7,14000
平成１０年,8,16000
平成１１年,12,24000
平成１２年,2,6000
平成１３年,6,12000
平成１４年,2,4000
平成１５年,4,8000
平成１６年,5,10000
平成１７年,5,10000
平成１８年,5,10000
平成１９年,4,8000
平成２０年,7,14000
平成２１年,4,8000
平成２２年,4,8000
平成２３年,6,12000
平成２４年,4,8000
平成２５年,3,6000
平成２６年,1,2000
平成２７年,4,8000
平成２８年,4,8000
平成２９年,8,16000
平成３０年,4,8000
平成３１年,2,4000
令和２年,2,4000
令和３年,10,20000
令和４年,6,12000
令和５年,7,14000
,1400,3079000
