卒業年,入金件数,入金額
明治３９年,0,0
明治４０年,0,0
明治４１年,0,0
明治４２年,0,0
明治４３年,0,0
明治４４年,0,0
明治４５年,0,0
大正２年,0,0
大正３年,0,0
大正４年,0,0
大正５年,0,0
大正６年,0,0
大正７年,0,0
大正８年,0,0
大正９年,0,0
大正１０年,0,0
大正１１年,0,0
大正１２年,0,0
大正１３年,0,0
大正１４年,0,0
大正１５年,0,0
昭和２年,0,0
昭和３年,0,0
昭和４年,0,0
昭和５年,0,0
昭和６年,0,0
昭和７年,0,0
昭和８年,0,0
昭和９年,0,0
昭和１０年,0,0
昭和１１年,0,0
昭和１２年,0,0
昭和１３年,0,0
昭和１４年,0,0
昭和１５年,0,0
昭和１６年,0,0
昭和１７年,1,2000
昭和１８年,1,2000
昭和１９年,1,2000
昭和２０年,5,10000
昭和２１年,3,6000
昭和２２年,1,2000
昭和２３年,2,4000
昭和２４年,7,14000
昭和２５年,4,8000
昭和２６年,11,24000
昭和２７年,11,22000
昭和２８年,17,34000
昭和２９年,17,34000
昭和３０年,21,44000
昭和３１年,30,68000
昭和３２年,20,62000
昭和３３年,19,38000
昭和３４年,34,84000
昭和３５年,24,62000
昭和３６年,47,110000
昭和３７年,38,76000
昭和３８年,36,72000
昭和３９年,31,62000
昭和４０年,40,80000
昭和４１年,43,86000
昭和４２年,50,114000
昭和４３年,34,71000
昭和４４年,33,66000
昭和４５年,31,64000
昭和４６年,33,74000
昭和４７年,28,64000
昭和４８年,55,118000
昭和４９年,45,106000
昭和５０年,42,84000
昭和５１年,21,42000
昭和５２年,38,76000
昭和５３年,26,52000
昭和５４年,27,54000
昭和５５年,27,54000
昭和５６年,28,56000
昭和５７年,20,40000
昭和５８年,23,46000
昭和５９年,12,24000
昭和６０年,7,14000
昭和６１年,16,32000
昭和６２年,14,28000
昭和６３年,11,22000
平成元年,8,16000
平成２年,9,18000
平成３年,11,22000
平成４年,7,14000
平成５年,11,22000
平成６年,11,22000
平成７年,14,28000
平成８年,8,16000
平成９年,7,14000
平成１０年,6,12000
平成１１年,6,12000
平成１２年,3,6000
平成１３年,3,6000
平成１４年,3,6000
平成１５年,3,6000
平成１６年,7,14000
平成１７年,2,4000
平成１８年,6,12000
平成１９年,2,4000
平成２０年,4,8000
平成２１年,3,6000
平成２２年,3,6000
平成２３年,4,8000
平成２４年,2,4000
平成２５年,4,8000
平成２６年,2,4000
平成２７年,6,12000
平成２８年,0,0
平成２９年,4,8000
平成３０年,4,8000
平成３１年,5,10000
令和２年,2,4000
令和３年,5,10000
令和４年,5,10000
令和５年,5,10000
令和６年,7,14000
,1277,2693000
