市町村,入金件数,入金額
北海道札幌市中央区,2,4000
北海道札幌市北区,3,6000
北海道札幌市東区,1,2000
北海道札幌市豊平区,2,4000
北海道札幌市南区,1,2000
北海道札幌市西区,2,4000
北海道札幌市手稲区,1,2000
北海道函館市,1,2000
北海道小樽市,1,2000
北海道室蘭市,1,2000
北海道新冠郡新冠町,1,2000
青森県青森市,6,12000
青森県弘前市,2,4000
青森県八戸市,28,56000
青森県十和田市,5,10000
青森県むつ市,2,4000
青森県南津軽郡藤崎町,1,2000
青森県上北郡おいらせ町,1,2000
青森県三戸郡三戸町,16,32000
青森県三戸郡田子町,5,10000
青森県三戸郡南部町,14,34000
岩手県盛岡市,160,338000
岩手県宮古市,1,2000
岩手県大船渡市,1,2000
岩手県花巻市,7,14000
岩手県北上市,9,18000
岩手県久慈市,10,20000
岩手県遠野市,3,6000
岩手県一関市,7,14000
岩手県陸前高田市,2,4000
岩手県釜石市,1,2000
岩手県二戸市,373,781000
岩手県八幡平市,13,26000
岩手県奥州市,10,20000
岩手県滝沢市,36,72000
岩手県岩手郡雫石町,1,2000
岩手県岩手郡葛巻町,3,14000
岩手県岩手郡岩手町,2,4000
岩手県紫波郡紫波町,19,38000
岩手県紫波郡矢巾町,14,28000
岩手県胆沢郡金ケ崎町,1,2000
岩手県気仙郡住田町,1,2000
岩手県下閉伊郡普代村,2,4000
岩手県九戸郡軽米町,8,16000
岩手県九戸郡野田村,1,2000
岩手県九戸郡九戸村,51,104000
岩手県九戸郡洋野町,6,12000
岩手県二戸郡一戸町,86,172000
宮城県仙台市青葉区,9,18000
宮城県仙台市宮城野区,5,10000
宮城県仙台市若林区,2,4000
宮城県仙台市太白区,4,8000
宮城県仙台市泉区,11,22000
宮城県塩竈市,2,4000
宮城県名取市,1,2000
宮城県多賀城市,1,2000
宮城県岩沼市,3,6000
宮城県東松島市,1,2000
宮城県大崎市,1,2000
宮城県富谷市,4,8000
宮城県黒川郡大和町,1,2000
秋田県秋田市,2,4000
秋田県大館市,1,2000
秋田県鹿角市,2,4000
福島県福島市,2,4000
福島県いわき市,3,6000
福島県相馬市,1,2000
福島県本宮市,1,2000
福島県西白河郡中島村,1,2000
福島県東白川郡矢祭町,1,2000
茨城県水戸市,1,2000
茨城県龍ケ崎市,1,2000
茨城県常陸太田市,1,2000
茨城県取手市,2,4000
茨城県つくば市,1,2000
茨城県桜川市,1,2000
茨城県つくばみらい市,1,2000
茨城県北相馬郡利根町,1,2000
栃木県宇都宮市,2,4000
栃木県栃木市,1,2000
栃木県鹿沼市,1,2000
栃木県小山市,2,4000
栃木県真岡市,1,2000
栃木県那須塩原市,1,2000
栃木県下野市,1,2000
群馬県富岡市,1,2000
埼玉県さいたま市西区,1,2000
埼玉県さいたま市大宮区,1,2000
埼玉県さいたま市桜区,1,2000
埼玉県さいたま市南区,1,2000
埼玉県さいたま市緑区,2,4000
埼玉県川越市,6,15000
埼玉県熊谷市,1,2000
埼玉県川口市,2,4000
埼玉県所沢市,3,6000
埼玉県加須市,1,2000
埼玉県東松山市,1,2000
埼玉県春日部市,2,4000
埼玉県狭山市,2,4000
埼玉県深谷市,1,2000
埼玉県上尾市,2,4000
埼玉県越谷市,5,18000
埼玉県志木市,4,8000
埼玉県新座市,1,2000
